Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
1,0.074990041554,0.061279948801,0,0
2,0.072810031474,0.059199955314,0,0
3,0.073160029948,0.060909945518,0,0
4,0.071950033307,0.061449967325,0,0
5,0.071690030396,0.062159962952,2,1
6,0.071120016277,0.061299957335,1,0
7,0.069040007889,0.062679961324,0,0
8,0.070680007339,0.061899989843,2,1
9,0.069570012391,0.061189956963,1,0
10,0.069219999015,0.062189970165,1,0
11,0.069440029562,0.062999993563,4,0
12,0.069480024278,0.063429951668,0,1
13,0.067940004170,0.064599998295,3,0
14,0.073500014842,0.065249994397,4,0
15,0.068029977381,0.063129976392,10,0
16,0.070150002837,0.065689995885,5,0
17,0.067710034549,0.069240003824,1,2
18,0.071160055697,0.066009961069,4,2
19,0.069930046797,0.065350010991,5,2
20,0.068500004709,0.065170027316,7,0
21,0.069490015507,0.066000044346,7,2
22,0.068409986794,0.066690035164,4,1
23,0.070539988577,0.062819972634,13,0
24,0.067789956927,0.063469968736,1,0
25,0.069049969316,0.064319990575,2,1
26,0.071229986846,0.063849993050,7,0
27,0.067459970713,0.064129978418,6,2
28,0.067949980497,0.065129987895,4,4
29,0.073409982026,0.065269991755,11,0
30,0.070099964738,0.065499968827,12,2
31,0.068970024586,0.064129993320,10,2
32,0.070010028780,0.063489966094,10,2
33,0.068029962480,0.066569969058,17,2
34,0.065679982305,0.064950004220,6,3
35,0.067019954324,0.065429963171,11,5
36,0.069799952209,0.065219961107,16,4
37,0.067290008068,0.063989967108,10,2
38,0.069579988718,0.065699957311,20,6
39,0.067529991269,0.063579961658,9,2
40,0.067660033703,0.064519971609,7,4
41,0.070150025189,0.063529968262,17,3
42,0.068199969828,0.066329963505,15,3
43,0.067530013621,0.063319966197,10,3
44,0.068169973791,0.065300002694,8,0
45,0.067050017416,0.068299986422,8,2
46,0.069840006530,0.064750015736,12,0
47,0.067819967866,0.066929966211,11,3
48,0.069100007415,0.064629964530,10,3
49,0.068910017610,0.069309964776,7,6
50,0.068259984255,0.066409967840,14,0
51,0.070550002158,0.065539970994,14,3
52,0.069479964674,0.069499969482,11,0
53,0.069079987705,0.067539989948,12,8
54,0.069089964032,0.065959975123,12,4
55,0.069309957325,0.064579956234,17,1
56,0.069460034370,0.066470019519,20,4
57,0.072109967470,0.069369979203,20,6
58,0.068549975753,0.065690010786,14,0
59,0.068899981678,0.065839968622,15,1
60,0.069499969482,0.063899971545,19,3
61,0.069129973650,0.066159963608,15,4
62,0.070830009878,0.064879961312,19,5
63,0.069110020995,0.068119958043,17,3
64,0.067019976676,0.067709997296,9,6
65,0.071639992297,0.063959963620,24,3
66,0.070159971714,0.065809994936,26,5
67,0.068959973752,0.066149972379,17,2
68,0.073220029473,0.067179985344,28,6
69,0.069079972804,0.067219980061,19,2
70,0.069759979844,0.065729983151,12,8
71,0.072479993105,0.064739957452,30,3
72,0.071309968829,0.068939976394,23,10
73,0.070559985936,0.066099971533,22,3
74,0.071139968932,0.064869947731,23,3
75,0.070519968867,0.066650003195,23,4
76,0.072649985552,0.065909966826,32,4
77,0.095800034702,0.069609999657,35,3
78,0.073199957609,0.068690001965,25,6
79,0.071010008454,0.071149975061,23,11
80,0.074089974165,0.069529980421,23,13
81,0.068649984896,0.069049999118,16,8
82,0.071629986167,0.067569971085,19,14
83,0.070599988103,0.068379975855,22,16
84,0.074069976807,0.069679968059,29,7
85,0.073049999774,0.067629985511,27,8
86,0.072590015829,0.067359983921,24,3
87,0.075789980590,0.067169956863,45,6
88,0.073799997568,0.068409949541,25,1
89,0.073419965804,0.068689972162,23,13
90,0.073750033975,0.071799986064,27,9
91,0.079069986939,0.071499966085,44,7
92,0.073479972780,0.069129981101,23,5
93,0.074070036411,0.073789976537,24,9
94,0.072950005531,0.068989969790,20,6
95,0.073460012674,0.073170013726,33,8
96,0.076289989054,0.068729981780,25,5
97,0.076040029526,0.068989969790,33,15
98,0.074679970741,0.067329958081,34,2
99,0.073739968240,0.071139983833,34,12
100,0.078709974885,0.066319987178,40,8
101,0.259219914675,0.068159960210,43,14
102,0.074729971588,0.066869989038,40,13
103,0.073919951916,0.069249972701,40,5
104,0.075169973075,0.067369967699,41,10
105,0.072639949620,0.067029967904,42,11
106,0.070139959455,0.064939983189,27,7
107,0.074729971588,0.065579980612,51,9
108,0.075539976358,0.066579975188,46,9
109,0.072759963572,0.067209981382,37,9
110,0.075709968805,0.065869972110,43,15
111,0.075299963355,0.067449964583,46,10
112,0.075029954314,0.065019972622,46,6
113,0.079149946570,0.066399961710,53,5
114,0.080419987440,0.072749964893,57,8
115,0.076069973409,0.071439944208,41,7
116,0.077009961009,0.073019959033,45,11
117,0.078869983554,0.077909991145,47,8
118,0.078829944134,0.072149977088,53,7
119,0.077569976449,0.074960008264,54,14
120,0.074519962072,0.073849976063,37,15
121,0.080379977822,0.071009978652,40,17
122,0.079189985991,0.071819946170,51,11
123,0.080119989812,0.070779979229,57,16
124,0.075839966536,0.067929968238,34,8
125,0.078749969602,0.074159987271,47,12
126,0.081380002201,0.076069973409,33,14
127,0.081159956753,0.068779975176,45,11
128,0.080379940569,0.069139964879,57,15
129,0.075449943542,0.071089953184,42,16
130,0.079889975488,0.067169971764,59,13
131,0.073649957776,0.069319978356,43,7
132,0.083339981735,0.069779954851,67,13
133,0.075759954751,0.068209968507,56,12
134,0.078279949725,0.067709960043,51,14
135,0.079379960895,0.070839971304,58,25
136,0.077099941671,0.067419968545,52,7
137,0.075729973614,0.068229958415,48,18
138,0.082559965551,0.068789973855,74,11
139,0.079649969935,0.068739973009,69,10
140,0.076959952712,0.071019984782,53,19
141,0.075059935451,0.069849975407,50,15
142,0.082229949534,0.069889962673,76,20
143,0.081459969282,0.066389970481,76,6
144,0.081859976053,0.066719979048,73,8
145,0.081429958344,0.068639978766,68,17
146,0.079429976642,0.066939964890,56,9
147,0.083569973707,0.064629957080,76,10
148,0.081309959292,0.065329983830,64,7
149,0.078339979053,0.065889976919,62,12
150,0.080079980195,0.067479968071,70,17
151,0.079299949110,0.068449981511,63,6
152,0.079209968448,0.070079959929,68,25
153,0.082059964538,0.070309996605,73,12
154,0.083329983056,0.068489946425,75,15
155,0.081889972091,0.068529978395,71,8
156,0.077489964664,0.067879989743,58,16
157,0.082109995186,0.069289967418,82,13
158,0.081719957292,0.073349982500,70,25
159,0.081799991429,0.066499970853,70,17
160,0.085379958153,0.067639961839,84,10
161,0.083359971642,0.068269960582,87,9
162,0.081349976361,0.068499989808,75,20
163,0.077519968152,0.069559991360,60,14
164,0.083549946547,0.066879965365,84,14
165,0.082919970155,0.071069940925,76,15
166,0.086469978094,0.067079983652,88,15
167,0.079599983990,0.068909972906,64,21
168,0.084930002689,0.069009952247,84,17
169,0.081699974835,0.069099992514,81,20
170,0.085199981928,0.069419965148,92,24
171,0.087889969349,0.068499982357,92,12
172,0.079459942877,0.069750003517,62,20
173,0.079209975898,0.069879971445,68,19
174,0.078869991004,0.067429974675,69,11
175,0.087519988418,0.070139959455,90,23
176,0.085569962859,0.067349992692,96,12
177,0.087529979646,0.072399966419,89,25
178,0.085649967194,0.072159968317,92,16
179,0.087449952960,0.068629980087,89,21
180,0.079639963806,0.067659966648,67,22
181,0.084839962423,0.072369948030,90,29
182,0.083859957755,0.067909970880,86,22
183,0.091009974480,0.069389946759,107,21
184,0.089579991996,0.068759985268,111,22
185,0.087770000100,0.068629965186,84,7
186,0.084679991007,0.070619963109,84,26
187,0.085639946163,0.071959979832,85,17
188,0.084339983761,0.076569996774,88,24
189,0.093059994280,0.068219974637,115,11
190,0.083859957755,0.072909973562,91,17
191,0.084539994597,0.072809964418,88,37
192,0.090049982071,0.070889987051,105,23
193,0.092369973660,0.068369977176,109,17
194,0.094379976392,0.067459985614,111,14
195,0.085119962692,0.068469986320,87,14
196,0.092289991677,0.069899991155,121,18
197,0.088399961591,0.072599969804,108,34
198,0.087569959462,0.070089995861,105,24
199,0.093879967928,0.069859974086,132,29
200,0.092799976468,0.070310011506,124,22
201,0.091550007463,0.070329993963,137,23
202,0.090369962156,0.071699991822,118,31
203,0.086859986186,0.070409983397,108,22
204,0.092270016670,0.069419980049,140,27
205,0.092129975557,0.070629984140,123,18
206,0.089049994946,0.073509976268,115,33
207,0.093170024455,0.070309974253,133,21
208,0.086559996009,0.069809973240,115,31
209,0.092679977417,0.067439980805,141,12
210,0.093519985676,0.076519981027,134,26
211,0.090029992163,0.075149975717,119,30
212,0.098369963467,0.072469994426,129,20
213,0.093700006604,0.077049985528,130,34
214,0.091329969466,0.072999976575,138,20
215,0.090659983456,0.070909962058,127,19
216,0.092269964516,0.069309987128,128,12
217,0.097180008888,0.075219996274,168,33
218,0.092709980905,0.071819998324,134,25
219,0.094730004668,0.072739973664,154,36
220,0.098169982433,0.071279995143,161,20
221,0.092350021005,0.071989975870,149,26
222,0.090709984303,0.075979992747,137,58
223,0.095029987395,0.072679966688,141,14
224,0.089689977467,0.071899995208,129,34
225,0.093429997563,0.074999980628,142,43
226,0.093630015850,0.069979980588,132,22
227,0.094850033522,0.072249986231,154,30
228,0.092140004039,0.073909997940,134,26
229,0.096740014851,0.072740010917,152,41
230,0.096499986947,0.072539970279,158,30
231,0.096049979329,0.073729977012,160,26
232,0.097760036588,0.074389986694,158,48
233,0.097049988806,0.073919981718,186,34
234,0.099979981780,0.071469999850,162,36
235,0.100449994206,0.075779989362,176,32
236,0.095779985189,0.070629976690,141,21
237,0.097090013325,0.071380004287,188,29
238,0.097809992731,0.078419983387,157,38
239,0.095080003142,0.078119993210,173,31
240,0.099030017853,0.072469957173,185,22
241,0.097530029714,0.072899989784,152,24
242,0.097889989614,0.074429981411,171,22
243,0.099740006030,0.076089978218,205,30
244,0.100870013237,0.077169977129,214,49
245,0.097449988127,0.074489980936,172,39
246,0.104170009494,0.076389983296,212,38
247,0.097939983010,0.072760000825,193,21
248,0.092539988458,0.073289982975,155,24
249,0.102890007198,0.075289994478,214,40
250,0.100739978254,0.074509970844,216,52
251,0.104809984565,0.077059984207,217,20
252,0.097989991307,0.076370008290,171,56
253,0.104290008545,0.076259978116,240,39
254,0.096289992332,0.078599996865,148,46
255,0.097099982202,0.079389996827,156,42
256,0.099529966712,0.083359964192,197,40
257,0.107809983194,0.078979991376,229,35
258,0.103949978948,0.085999980569,191,33
259,0.105030007660,0.087559975684,223,29
260,0.104230009019,0.083699993789,181,36
261,0.108170002699,0.094559982419,213,32
262,0.110639996827,0.095049992204,216,44
263,0.101369984448,0.102619968355,185,53
264,0.105589970946,0.094499997795,176,41
265,0.109810017049,0.089400008321,231,30
266,0.113259993494,0.088099986315,216,33
267,0.116360008717,0.082209996879,270,31
268,0.109859980643,0.095899946988,249,33
269,0.106699980795,0.095079980791,219,32
270,0.117550015450,0.087449997663,244,44
271,0.109809994698,0.082710020244,249,37
272,0.117239981890,0.083719991148,304,52
273,0.106260024011,0.086069986224,216,41
274,0.109159968793,0.082519985735,254,36
275,0.105229988694,0.082659989595,243,43
276,0.103989966214,0.085579946637,225,51
277,0.107380002737,0.082420021296,236,28
278,0.112659983337,0.082919992507,286,57
279,0.111259981990,0.091370016336,290,59
280,0.110449992120,0.081369988620,284,65
281,0.108120016754,0.087130002677,267,59
282,0.103589989245,0.081649981439,226,41
283,0.107560001314,0.081359975040,256,53
284,0.107869982719,0.079460009933,240,31
285,0.111500002444,0.083059974015,289,50
286,0.112129971385,0.085239991546,321,69
287,0.106720000505,0.085470013320,240,42
288,0.107299998403,0.079369984567,291,48
289,0.116080008447,0.082079969347,322,52
290,0.103099986911,0.083629995584,241,66
291,0.113129980862,0.073699973524,328,33
292,0.107379987836,0.079769998789,278,64
293,0.108239993453,0.077489994466,273,48
294,0.107450000942,0.076790004969,285,40
295,0.106449969113,0.077899985015,283,69
296,0.108360022306,0.071019999683,302,34
297,0.114849999547,0.078999981284,342,62
298,0.117309980094,0.076319992542,375,45
299,0.110319986939,0.080059982836,319,55
300,0.109889969230,0.083210021257,301,49
301,0.113609962165,0.076689988375,326,68
302,0.117489993572,0.078449986875,362,47
303,0.114679984748,0.075099989772,331,35
