Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
111,0.436980098486,0.079640038311,25,0
112,0.499480038881,0.076680026948,29,0
113,0.485710084438,0.073610015213,29,0
114,0.424169957638,0.077090032399,24,0
115,0.385580003262,0.075840041041,19,0
116,0.358579993248,0.077130034566,19,0
117,0.456239968538,0.082790024579,20,0
118,0.319839954376,0.078100033104,15,0
119,0.486440062523,0.080440029502,28,0
120,0.365309983492,0.080100022256,18,0
121,0.293660014868,0.077210046351,13,0
122,0.428640037775,0.077950023115,21,0
123,0.476260006428,0.079330034554,28,0
124,0.395339936018,0.079080022871,21,0
125,0.383910119534,0.078610025346,19,0
126,0.421240091324,0.077510029078,24,0
127,0.457069933414,0.079430013895,25,0
128,0.405730038881,0.080730050802,23,0
129,0.400839954615,0.078450016677,22,0
130,0.416900008917,0.078870020807,22,0
131,0.435850054026,0.082040041685,25,0
132,0.437170028687,0.078520029783,24,0
133,0.403980046511,0.080460019410,21,0
134,0.375160068274,0.080880030990,20,0
135,0.438280016184,0.075310036540,24,0
136,0.360589921474,0.077920041978,19,0
137,0.459369838238,0.078250035644,27,0
138,0.378479927778,0.078120037913,19,0
139,0.447900146246,0.080520033836,26,0
140,0.434220016003,0.079750046134,23,0
141,0.322680026293,0.078100040555,16,0
142,0.344279974699,0.075780048966,18,0
143,0.347229987383,0.077230013907,16,0
144,0.333540052176,0.079830028117,17,0
145,0.371829986572,0.080210022628,18,0
146,0.338030099869,0.078460007906,17,0
147,0.281449913979,0.077100031078,12,0
148,0.349479973316,0.076550029218,17,0
149,0.433609962463,0.076880037785,25,0
150,0.328309953213,0.077880062163,15,0
151,0.447360038757,0.080310031772,27,0
152,0.422290056944,0.078920036554,24,0
153,0.263300001621,0.077450029552,11,0
154,0.415629953146,0.078050039709,23,0
155,0.497159868479,0.078270033002,29,0
156,0.374289989471,0.078240022063,21,0
157,0.438539892435,0.076710030437,25,0
158,0.358240038157,0.078190013766,18,0
159,0.371109962463,0.078000023961,20,0
160,0.367070078850,0.076370052993,20,0
161,0.451170146465,0.079970039427,28,0
162,0.397869884968,0.077710025012,22,0
163,0.372960031033,0.081710033119,22,0
164,0.335020035505,0.078820034862,18,1
165,0.395520031452,0.075610041618,25,0
166,0.468569844961,0.078700043261,29,0
167,0.396810024977,0.077280037105,26,0
168,0.540010213852,0.081280045211,36,0
169,0.383350014687,0.082460038364,24,0
170,0.391359895468,0.077430032194,25,0
171,0.323020040989,0.077820032835,19,0
172,0.377240061760,0.080640025437,26,1
173,0.347580015659,0.077070035040,20,2
174,0.497139990330,0.082450039685,35,1
175,0.407930046320,0.079830028117,28,0
176,0.456840068102,0.078130014241,32,1
177,0.417199999094,0.078860029578,32,0
178,0.434550106525,0.078750029206,31,0
179,0.387219995260,0.080010034144,28,0
180,0.390529990196,0.078980036080,36,0
181,0.376169979572,0.076210021973,24,0
182,0.411520063877,0.080070026219,31,2
183,0.467650204897,0.078640021384,34,1
184,0.423019975424,0.078460022807,33,0
185,0.386859953403,0.078080035746,34,3
186,0.384489893913,0.077460028231,30,2
187,0.370889991522,0.078090034425,30,0
188,0.344509989023,0.078490018845,30,0
189,0.409590005875,0.080130033195,34,1
190,0.390460044146,0.080630019307,32,1
191,0.388139992952,0.081440031528,42,2
192,0.432810008526,0.077830038965,38,0
193,0.483410030603,0.077370040119,44,3
194,0.370479941368,0.077970013022,39,1
195,0.349279999733,0.076910048723,29,1
196,0.443680047989,0.079160042107,42,0
197,0.441699981689,0.077810041606,41,2
198,0.419759988785,0.078040011227,50,0
199,0.427420169115,0.079190030694,38,1
200,0.368860036135,0.077820040286,43,1
201,0.439819931984,0.078600041568,42,3
202,0.458919942379,0.079430028796,41,4
203,0.412590026855,0.079200029373,43,6
204,0.366459965706,0.079350039363,30,6
205,0.536130011082,0.104639999568,46,1
206,0.475569933653,0.080400012434,48,2
207,0.419210016727,0.080450028181,48,2
208,0.391229987144,0.079000018537,41,3
209,0.372179895639,0.081010013819,46,5
210,0.418169945478,0.080000042915,42,3
211,0.697509944439,0.094519980252,50,4
212,0.454799830914,0.087859980762,53,5
213,1.064489841461,0.095719993114,45,7
214,0.358489990234,0.179419994354,45,3
215,0.498119950294,0.100930012763,53,3
216,0.381549924612,0.084580011666,41,1
217,0.393519878387,0.085230007768,54,3
218,0.412630110979,0.083839990199,56,3
219,0.328399986029,0.082390032709,50,5
220,0.508870005608,0.079310029745,53,7
221,0.387999951839,0.085340008140,54,5
222,0.461609899998,0.081160016358,50,3
223,0.364310026169,0.081850014627,39,7
224,0.390820115805,0.081850014627,40,6
225,0.420559823513,0.087280012667,51,5
226,0.413760066032,0.084300011396,45,2
227,0.325739920139,0.080610021949,43,2
228,0.479109942913,0.085540004075,51,8
229,0.462200045586,0.081980012357,56,4
230,0.432849884033,0.086170002818,52,3
231,0.481479972601,0.088610000908,55,2
232,0.445340007544,0.083280012012,49,6
233,0.319699883461,0.087889999151,46,3
234,0.454679906368,0.088859990239,49,4
235,0.525279939175,0.087809987366,65,2
236,0.414879828691,0.087250009179,52,8
237,0.475799858570,0.087320007384,58,6
238,0.383459895849,0.082950010896,44,5
239,0.468170046806,0.091189987957,55,7
240,0.406820088625,0.085860006511,64,14
241,0.329770058393,0.092180013657,48,7
242,0.907319903374,0.096880018711,61,6
243,0.363549947739,0.090469963849,53,2
244,0.543769836426,0.087729997933,52,8
245,0.395720124245,0.087560005486,44,8
246,0.466439902782,0.088220037520,56,9
247,0.437190026045,0.082400031388,54,6
248,0.253909975290,0.087610013783,48,14
249,0.385330051184,0.101680010557,47,8
250,0.395909935236,0.106870017946,53,11
251,0.387549996376,0.102999992669,52,10
252,0.383179962635,0.100720003247,52,10
253,0.388490051031,0.086230002344,49,13
254,0.368189930916,0.100539982319,56,7
255,0.371710002422,0.288800001144,42,9
256,0.675180077553,0.106270000339,54,8
257,0.471529990435,0.094839975238,50,8
258,0.411039978266,0.093850001693,56,14
259,0.389819979668,0.086900018156,46,9
260,0.517720043659,0.090569987893,50,7
261,0.427689999342,0.091100029647,45,14
262,0.389929980040,0.087479993701,44,7
263,0.451679885387,0.089779980481,55,10
264,0.420339912176,0.087560042739,55,8
265,0.411589980125,0.087550006807,50,12
266,0.389689952135,0.087430007756,50,10
267,0.378959923983,0.091890029609,55,8
268,0.393779933453,0.089430004358,53,9
269,0.329319924116,0.089400000870,54,13
270,0.444880008698,0.085360027850,46,6
271,0.462199926376,0.084800012410,54,10
272,0.494609922171,0.091819994152,53,15
273,0.526350021362,0.088420003653,61,14
274,0.420839995146,0.088249988854,54,9
275,0.309019953012,0.089470006526,56,9
276,0.400589913130,0.086580052972,49,7
277,0.430679917336,0.088880024850,49,11
278,0.375600010157,0.090740002692,46,14
279,0.361469954252,0.085360027850,51,15
280,0.413349896669,0.090440012515,47,12
281,0.306440025568,0.090500026941,49,14
282,0.476639896631,0.091489978135,61,18
283,0.492490023375,0.093580015004,56,13
284,0.390880048275,0.093740008771,51,16
