Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
1,0.062139969319,0.050589963794,0,0
2,0.059339951724,0.050059963018,0,0
3,0.059909965843,0.050209958106,0,0
4,0.057949945331,0.050599962473,0,0
5,0.058079976588,0.051399957389,2,0
6,0.056739967316,0.050659954548,1,0
7,0.055409960449,0.050579957664,0,0
8,0.056789964437,0.051249962300,2,1
9,0.057079955935,0.050939958543,1,1
10,0.055129963905,0.051249958575,1,0
11,0.055769957602,0.051099959761,4,0
12,0.054339967668,0.051029965281,0,0
13,0.052989967167,0.050979960710,3,1
14,0.054319962859,0.051159955561,4,0
15,0.055149961263,0.053259961307,10,1
16,0.054179966450,0.051369961351,5,2
17,0.054169960320,0.050939958543,1,0
18,0.052939962596,0.051089957356,3,1
19,0.053389962763,0.053289957345,5,3
20,0.052989959717,0.052369959652,7,4
21,0.054529957473,0.051399961114,7,3
22,0.053719956428,0.053999952972,4,3
23,0.055159959942,0.052809957415,12,1
24,0.053089953959,0.051929958165,1,3
25,0.052209950984,0.052789960057,2,1
26,0.052639961243,0.053329963237,7,2
27,0.054299958050,0.052439957857,6,3
28,0.052609961480,0.051199954003,4,2
29,0.053479958326,0.052939962596,11,1
30,0.054679971188,0.054239954799,12,1
31,0.059239953756,0.053249970078,10,2
32,0.056809961796,0.051919963211,10,1
33,0.054159972817,0.053189959377,17,1
34,0.052899964154,0.051679957658,6,5
35,0.053629957139,0.051639955491,11,2
36,0.054109964520,0.052679963410,15,2
37,0.052929960191,0.051199957728,10,3
38,0.055719964206,0.051119957119,20,2
39,0.053909968585,0.053949959576,9,3
40,0.052299957722,0.051779951900,7,5
41,0.056579973549,0.051609970629,18,1
42,0.055929973722,0.051629956812,15,3
43,0.052639957517,0.051249954849,10,2
44,0.054809954017,0.054679960012,9,5
45,0.053879961371,0.053369957954,7,4
46,0.054349958897,0.052969958633,11,5
47,0.053059965372,0.052549969405,11,5
48,0.054099954665,0.052049957216,10,2
49,0.053249962628,0.052499964833,7,2
50,0.054009959102,0.052149966359,14,7
51,0.053869970143,0.052629962564,15,3
52,0.053379960358,0.052319969982,11,7
53,0.053539965302,0.052189961076,12,1
54,0.054019972682,0.051549959928,13,1
55,0.053139954805,0.051959965378,15,5
56,0.054879955947,0.052029963583,21,3
57,0.054239973426,0.051809951663,20,1
58,0.053609967232,0.052129965276,14,3
59,0.055699970573,0.055069956928,15,1
60,0.054519966245,0.052009958774,20,3
61,0.052669964731,0.050849966705,16,4
62,0.054809968919,0.051229957491,24,3
63,0.052439965308,0.051509961486,15,5
64,0.051689963788,0.051049970090,9,6
65,0.054979968816,0.050029959530,24,0
66,0.054689977318,0.050849962980,24,1
67,0.053709968925,0.050109963864,17,2
68,0.054049964994,0.050739962608,28,5
69,0.053339973092,0.050679966807,20,5
70,0.051839962602,0.051399949938,12,4
71,0.053979974240,0.051769964397,28,10
72,0.054539967328,0.051149964333,25,5
73,0.053399961442,0.050679966807,21,2
74,0.053419955075,0.050629965961,24,4
75,0.052919983864,0.050879959017,21,3
76,0.056119974703,0.050739958882,33,6
77,0.056209966540,0.051499959081,33,4
78,0.054509975016,0.051999963820,30,7
79,0.054879963398,0.054489959031,21,11
80,0.053719967604,0.050519958138,21,2
81,0.053129967302,0.051759961993,18,12
82,0.054349962622,0.051369961351,23,7
83,0.053719967604,0.051799960434,24,4
84,0.053339961916,0.051609970629,25,10
85,0.054689966142,0.052839957178,29,8
86,0.053499970585,0.051419958472,25,5
87,0.055319968611,0.054619967937,40,6
88,0.054369963706,0.051399961114,28,11
89,0.053939983249,0.051079969853,22,4
90,0.053939957172,0.051439963281,27,6
91,0.056089967489,0.050959963351,45,4
92,0.056599956006,0.052439957857,29,8
93,0.055059961975,0.051339965314,27,7
94,0.054009959102,0.051219962537,26,6
95,0.055379971862,0.052739955485,32,6
96,0.053929969668,0.055289957672,26,9
97,0.056519977748,0.053729962558,29,16
98,0.056529965252,0.054679960012,37,13
99,0.062219981104,0.056429952383,35,6
100,0.068919971585,0.061269979924,48,6
101,0.063299946487,0.059999968857,48,8
102,0.060649968684,0.058739975095,37,11
103,0.062369965017,0.056689951569,33,5
104,0.059779971838,0.057689964771,46,9
105,0.058889977634,0.057329956442,41,10
106,0.057569973171,0.054639969021,35,17
107,0.061949983239,0.055209964514,59,8
108,0.061339966953,0.053009964526,49,7
109,0.057509966195,0.053809974343,38,11
110,0.059159968048,0.300110101700,44,8
111,0.060789972544,0.054569959641,52,2
112,0.061189979315,0.055429968983,48,12
113,0.063269980252,0.054949965328,66,7
