Iteration,Avg Insert Time,Avg Search Time,Insert Collisions per 100,Search Collisions per 100
1,0.142829984426,0.056149970740,0,0
2,0.110960014164,0.053549971431,0,0
3,0.137720033526,0.055519968271,0,0
4,0.109970033169,0.056199971586,0,0
5,0.396230101585,0.065149992704,2,0
6,0.134559988976,0.064049988985,1,0
7,0.111219994724,0.059869974852,0,1
8,0.128500044346,0.057909958065,2,0
9,0.138139992952,0.063429988921,1,0
10,0.536499977112,0.095809996128,1,0
11,0.205510064960,0.186889991164,4,0
12,0.383519977331,0.092180013657,0,0
13,0.777889966965,0.097340002656,3,1
14,0.261289983988,0.084630027413,3,0
15,0.576000034809,0.168310001493,10,4
16,0.226279899478,0.080100007355,4,0
17,0.238629981875,0.095930002630,1,1
18,0.344060063362,0.097899973392,2,0
19,0.261890023947,0.100190006196,5,1
20,0.333110064268,0.094289973378,7,3
21,0.588129997253,0.103260003030,7,1
22,0.202250048518,0.093999959528,4,0
23,0.377229958773,0.099639981985,11,2
24,0.203800022602,0.096439994872,1,2
25,0.182809978724,0.094520017505,2,1
26,0.523619949818,0.098960004747,6,5
27,0.419350147247,0.089960023761,6,3
28,0.162039980292,0.081570014358,4,1
29,0.264560014009,0.093689985573,10,2
30,0.248589992523,0.082180038095,11,1
31,0.247429966927,0.078290008008,10,0
32,0.253449976444,0.088020041585,9,1
33,0.321659982204,0.092430002987,16,3
34,0.196960002184,0.090190008283,5,1
35,0.511479973793,0.112499974668,10,1
36,0.385630011559,0.108540035784,12,5
37,0.239220008254,0.102859988809,8,4
38,0.641019999981,0.092540010810,16,2
39,0.192149981856,0.091290012002,7,3
40,0.203169986606,0.079530008137,5,1
41,0.295340001583,0.083590000868,14,2
42,0.207010000944,0.077690020204,12,3
43,0.203859940171,0.076440013945,8,2
44,0.239939987659,0.079060018063,6,2
45,0.173119992018,0.083570018411,6,5
46,0.249729990959,0.080650024116,11,3
47,0.172279998660,0.079650029540,10,1
48,0.230420008302,0.082019992173,8,2
49,0.206549972296,0.081770002842,7,0
50,0.200860008597,0.077140018344,13,5
51,0.235879987478,0.081100009382,12,3
52,0.209220021963,0.076200023293,9,2
53,0.223370075226,0.078090004623,10,6
54,0.226640000939,0.076060011983,9,1
55,0.177740037441,0.076070018113,9,2
56,0.256599992514,0.079770021141,17,3
57,0.257849991322,0.077110022306,17,2
58,0.237819999456,0.079340040684,12,1
59,0.260570049286,0.077540017664,14,3
60,0.237069964409,0.075940012932,16,1
61,0.250260084867,0.076370045543,14,5
62,0.227690041065,0.078400030732,13,6
63,0.239420011640,0.085790000856,12,4
64,0.248239979148,0.082570008934,7,3
65,0.216579988599,0.084170050919,17,5
66,0.268699944019,0.083970032632,20,2
67,0.240470036864,0.080050028861,14,7
68,0.286249935627,0.083970010281,19,4
69,0.230949997902,0.079790033400,13,6
70,0.198630005121,0.080629996955,10,2
71,0.251549988985,0.083070017397,18,5
72,0.632350265980,0.129410013556,16,9
73,0.338059961796,0.120149992406,19,8
74,0.408500045538,0.113489985466,14,4
75,0.382110059261,0.124060004950,15,3
76,0.470930069685,0.116069987416,22,4
77,0.460669845343,0.114830009639,25,7
78,0.418570011854,0.128450006247,19,7
79,0.550259888172,0.124419994652,13,5
80,0.347279965878,0.118059985340,16,6
81,0.316430062056,0.105710014701,10,4
82,0.180179953575,0.102490030229,14,3
83,0.317309975624,0.101399987936,18,3
